,company,title
0,(Senior) Data Analyst - Digital Marketing (all genders),(Senior) Data Analyst - Digital Marketing (all genders)
1,Business Analyst Data & AI Life Sciences (w/m/d),Business Analyst Data & AI Life Sciences (w/m/d)
2,Business Data Analyst - Sales & Customer Temporary Position (d/f/m),Business Data Analyst - Sales & Customer Temporary Position (d/f/m)
3,Junior Digital Analyst (m/w/d),Junior Digital Analyst (m/w/d)
4,Business Data Analyst - Sales & Customer Temporary Position (d/f/m),Business Data Analyst - Sales & Customer Temporary Position (d/f/m)
5,SEM Analyst Europe (M/F/D),SEM Analyst Europe (M/F/D)
6,Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax),Senior Data Analyst (Get a 30% salary increase & Pay 0% Tax)
7,Social Media Analyst (w/m/d),Social Media Analyst (w/m/d)
8,B/I Analyst (f/m/d),B/I Analyst (f/m/d)
9,Referent Web Analyst (m/w/d) mit Fokus Marketing & Attribution,Referent Web Analyst (m/w/d) mit Fokus Marketing & Attribution
10,Senior Audience Data Analyst - D2C (all genders),Senior Audience Data Analyst - D2C (all genders)
11,Senior Audience Data Analyst - D2C (all genders) - Marketing Labs – Universal Music GmbH,Senior Audience Data Analyst - D2C (all genders) - Marketing Labs – Universal Music GmbH
12,(Junior) Marketing-Analyst (m/w/d) – Hybrid,(Junior) Marketing-Analyst (m/w/d) – Hybrid
13,Businessanalyst*in (m/w/div),Businessanalyst*in (m/w/div)
14,Business Analyst/Controller:in (all genders),Business Analyst/Controller:in (all genders)
15,Business Analyst in Sales Analytics (d/w/m),Business Analyst in Sales Analytics (d/w/m)
16,Marketing Analyst (f/m/d),Marketing Analyst (f/m/d)
17,Senior Marketing Analyst (all genders),Senior Marketing Analyst (all genders)
18,(Senior) Marketing Analyst (d/f/m),(Senior) Marketing Analyst (d/f/m)
19,(Senior) CRM Data Analyst - D2C (all genders) - Marketing Labs – Universal Music GmbH,(Senior) CRM Data Analyst - D2C (all genders) - Marketing Labs – Universal Music GmbH
20,Business Analysts P&C (f/m/x),Business Analysts P&C (f/m/x)
21,Berater Technology Business Analysis - Technology Transformation (w/m/d),Berater Technology Business Analysis - Technology Transformation (w/m/d)
22,(Senior) Marketing Analyst (d/f/m),(Senior) Marketing Analyst (d/f/m)
23,Business Analyst / Consultant Cloud Integration (m/w/d),Business Analyst / Consultant Cloud Integration (m/w/d)
24,Senior Manager Marketing Analytics (m/f/d),Senior Manager Marketing Analytics (m/f/d)
25,Business Analyst in Sales Analytics (d/w/m),Business Analyst in Sales Analytics (d/w/m)
26,Business Analyst (m/w/d)-43_CL_27_2,Business Analyst (m/w/d)-43_CL_27_2
27,Business Analyst Strategy & Digital Transformation | Energiewirtschaft (m/w/d) in Berlin,Business Analyst Strategy & Digital Transformation | Energiewirtschaft (m/w/d) in Berlin
28,Business Analyst (Expansion) (m/f/d),Business Analyst (Expansion) (m/f/d)
29,Duales Studium B.A. International Service Management (m/w/d) - Berlin,Duales Studium B.A. International Service Management (m/w/d) - Berlin
30,Business Analyst,Business Analyst
31,Business Analyst (w/m/d),Business Analyst (w/m/d)
32,Business Analyst Anwendungsmanagement,Business Analyst Anwendungsmanagement
33,Duales Studium BWL/Versicherung B.A.,Duales Studium BWL/Versicherung B.A.
34,Business Analyst,Business Analyst
35,Business Analyst - Credit,Business Analyst - Credit
36,Business Analystin (m/w/d),Business Analystin (m/w/d)
37,Business Analyst (all genders) Digitalisierung,Business Analyst (all genders) Digitalisierung
38,Controller:in / Business Analyst (m/w/d),Controller:in / Business Analyst (m/w/d)
39,D365 F&O Business Analyst (SCM),D365 F&O Business Analyst (SCM)
40,Business Analyst (w/m/d),Business Analyst (w/m/d)
41,Business Analyst (M/W/D),Business Analyst (M/W/D)
42,Business Analyst (M/W/D),Business Analyst (M/W/D)
43,Avaloq Business Analyst (Avaloq certified,Avaloq Business Analyst (Avaloq certified
44,Business Analyst (M/W/D),Business Analyst (M/W/D)
45,Business Analyst & Application Architect (m/w/d),Business Analyst & Application Architect (m/w/d)
46,Business Analyst (M/W/D),Business Analyst (M/W/D)
47,Performance Marketing Manager SEA (m/w/d),Performance Marketing Manager SEA (m/w/d)
48,Business Analyst - Financial Instruments and Risk,Business Analyst - Financial Instruments and Risk
49,Business Analyst Value Added Services (m/w/d),Business Analyst Value Added Services (m/w/d)
